,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"Jerseys
 Gareth Bale: LAFC su...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #...
https://t.co/GqMAr0aBIO",jerseys gareth bale lafc su premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal eplresults ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,194,20
1,"Liverpoo...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #c...
https://t.co/1Gh2VM1lPq",liverpoo premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,186,19
2,"Ahead of...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #ep...
https://t.co/Hwk10Po6jT",ahead of mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal eplresults ep ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,190,20
3,"""#Chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with [Porto's] Pepe. Their focus is on Christopher Nkunku for June and then we will see who they target out wide.""

(@FabrizioRomano via @caughtoffside) https://t.co/yFCHJuH5Yu", chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with porto pepe their focus is on christopher nkunku for june and then we will see who they target out wide via ,0.02500000000000001,0.35000000000000003,neutral,0.0,1.0,0.0,0.0,202,38
4,"Our Champions League awards honour the ...

#Mancity #ManchesterCity #EPL #premierleague, #livematch, #livestream, #skysports, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea...
https://t.co/GkLzky9Qac",our champions league awards honour the mancity manchestercity epl premierleague livematch livestream skysports epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea ,0.0,0.0,positive,0.0,0.641,0.359,0.8779,198,21
5,"Robert Kalfin, Founder of an Adventurous Theater, Dies at 89

#Chelsea 

https://t.co/swXhLwEa69 https://t.co/KAvOF5wWK0",robert kalfin founder of an adventurous theater dies at 89 chelsea ,0.5,0.9,positive,0.0,0.806,0.194,0.34,67,11
6,"Liverpool and Manchester United...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, ...
https://t.co/ZF6FUALM9u",liverpool and manchester united premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores ,0.0,0.0,positive,0.0,0.872,0.128,0.4215,190,20
7,"Dinner Invitation at The Chelsea Harbour Hotel with our partners. 

#Millennium #MyMillennium #ChelseaHarbourHotel #London #VisitLondon #ThisIsLondon #LetsDoLondon #Hotel #Travel #ChelseaHarbour #Chelsea #vipplatinumconcierge #platinumconciergelondon https://t.co/JJPrTb8XiR",dinner invitation at the chelsea harbour hotel with our partners millennium mymillennium chelseaharbourhotel london visitlondon thisislondon letsdolondon hotel travel chelseaharbour chelsea vipplatinumconcierge platinumconciergelondon ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,235,23
8,"Chelsea are likely to face having to pay around £300k a week to renew Mason Mount given that is what Bellingham &amp; Rice can expect to earn if they do make lucrative moves next summer. (@TeleFootball) #CFC 
#Chelsea",chelsea are likely to face having to pay around 300k week to renew mason mount given that is what bellingham amp rice can expect to earn if they do make lucrative moves next summer cfc chelsea,0.0,0.5,negative,0.038,0.962,0.0,-0.1027,192,36
9,🔷🤝📲🌎📡  DONT MISS THE #ChelseaFollowTrain 🚂  I'll be connecting the #Chelsea fanbase together https://t.co/lAhxw2kmSW 💎🔻🌍   #Chelseafc  #Cfc, dont miss the chelseafollowtrain ll be connecting the chelsea fanbase together chelseafc cfc,0.0,0.0,positive,0.0,0.893,0.107,0.1139,93,13
10,"Giving value to your feet.

Shine your feet with our boots every day!
.
Check out the all-new collection of boots only at https://t.co/pNwxaVJwHu
.
#EZOK #Ezokshoes #theshoemustgoon #newpost #Chelsea #ChelseaBoots #casualboots #bootsshoes #blackcasualboot #leatherboots #bootshoes https://t.co/BYTHFCVQzz",giving value to your feet shine your feet with our boots every day check out the all new collection of boots only at ezok ezokshoes theshoemustgoon newpost chelsea chelseaboots casualboots bootsshoes blackcasualboot leatherboots bootshoes ,0.06818181818181818,0.7272727272727273,positive,0.0,0.87,0.13,0.5859,239,34
11,"High frequency Massage Gun Muscle Relax Body Relaxation Electric Massager with Portable Bag Therapy  TNWZBJ6

https://t.co/SsgkTvrOID

#etsy #recipe #foto #topsongs #deep #prom #youngadults #traveller #services #hereford #skirtsize #jobsearch #realtor #chelsea https://t.co/jxe8qpwf1q",high frequency massage gun muscle relax body relaxation electric massager with portable bag therapy tnwzbj6 etsy recipe foto topsongs deep prom youngadults traveller services hereford skirtsize jobsearch realtor chelsea ,0.08,0.47,positive,0.069,0.749,0.182,0.5994,220,29
12,"Liverpool are reportedly keen to bring P...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #e...
https://t.co/mU2aC1QH5b",liverpool are reportedly keen to bring premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal ,0.0,0.0,positive,0.0,0.884,0.116,0.3612,194,20
13,"“Still, #Chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with Pepe. They will go step by step on the market, their focus is on Christopher Nkunku for June and then we will see who they target out wide.”

@FabrizioRomano via @caughtoffside", still chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with pepe they will go step by step on the market their focus is on christopher nkunku for june and then we will see who they target out wide via ,0.02500000000000001,0.35000000000000003,neutral,0.0,1.0,0.0,0.0,242,47
14,"""#Chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with [Porto's] Pepe. Their focus is on Christopher Nkunku for June and then we will see who they target out wide.""

(@FabrizioRomano via @caughtoffside)", chelsea are linked with 50 wingers every day and at the moment there is nothing concrete with porto pepe their focus is on christopher nkunku for june and then we will see who they target out wide via ,0.02500000000000001,0.35000000000000003,neutral,0.0,1.0,0.0,0.0,202,38
15,"👋😁   There's Millions of active #Chelsea Fans all over the world  on Twitter!! Simply Like, Retweet &amp; Comment so we can all find eachother  https://t.co/HZZq5NvW9I 🤝🔵  #Chelseafollowtrain   #Cfc", there millions of active chelsea fans all over the world on twitter simply like retweet amp comment so we can all find eachother chelseafollowtrain cfc,-0.06666666666666667,0.47857142857142854,positive,0.0,0.816,0.184,0.6369,152,25
16,"Gareth Bale has been given a rave review...

#premierleague, #livematch, #livestream, #skysports, #Manchsetercity, #epl, #epl2023, #ManchesterUnited, #premierleaguetable, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplres...
https://t.co/13FiQsSprl",gareth bale has been given rave review premierleague livematch livestream skysports manchsetercity epl epl2023 manchesterunited premierleaguetable epltable eplfixtures liverpool chelsea arsenal eplres ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,201,22
17,"Liverpo...

#premierleague, #livematch, #livestream, #skysports, #lıverpool, #epl, #epl2023, #ManchesterUnited, #lfc, #epltable, #eplfixtures, #liverpool, #chelsea, #Arsenal, #eplresults, #epllivescores, #Astonvilla, #pltable, #...
https://t.co/755mZVybdy",liverpo premierleague livematch livestream skysports verpool epl epl2023 manchesterunited lfc epltable eplfixtures liverpool chelsea arsenal eplresults epllivescores astonvilla pltable ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,185,19
18,@ESPNFC I wish Chelsea  so as man city will bring in Messi #chelsea 4real, wish chelsea so as man city will bring in messi chelsea 4real,0.0,0.0,positive,0.0,0.803,0.197,0.4019,62,12
